fiscal_year,base_value,cost_growth_ratio,schedule_slip_days,planned_duration_days,number_of_offers,n_transactions,military_branch,naics_code,psc_code,contract_type,extent_competed,place_state
2012,74088.4,-1.0046684771165257,807.0,66.0,9.0,4,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2012,130000.0,-0.9999,1585.0,252.0,3.0,4,AMC,237310.0,Y1LB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,KS
2013,92000.0,-1.048643043478261,2042.0,68.0,3.0,10,AMC,237310.0,Y1LB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,KS
2013,49980.0,-1.0,2627.0,62.0,3.0,5,AMC,237310.0,Y1LB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,KS
2013,50000.0,-1.0236942,0.0,151.0,3.0,4,AMC,237310.0,Y1LB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,KS
2013,500000.0,-0.9893483000000001,124.0,171.0,3.0,3,AMC,237310.0,Y1LB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,KS
2013,18845.0,-0.841537277792518,159.0,116.0,3.0,2,AMC,237310.0,Y1LB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,KS
2013,143712.15,-0.8445622725705516,189.0,146.0,9.0,2,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2013,1300000.0,-1.0,0.0,365.0,3.0,3,AMC,237310.0,Y1LB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,KS
2013,45915.22,0.0,0.0,58.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2013,120000.0,-1.0025790833333335,0.0,165.0,3.0,4,AMC,237310.0,Y1LB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,KS
2012,62304.98,-1.394926697673284,1576.0,119.0,9.0,9,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2013,362000.0,-0.995169861878453,91.0,365.0,3.0,5,AMC,237310.0,Y1LB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,KS
2013,638000.0,-0.9793677272727273,85.0,103.0,3.0,2,AMC,237310.0,Y1LB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,KS
2013,6140.0,0.8488811074918565,131.0,30.0,3.0,2,AMC,237310.0,Y1LB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,KS
2013,190046.0,-1.7400000000000002,192.0,96.0,3.0,5,AMC,237310.0,Y1LB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,KS
2013,60000.0,-0.8466115000000001,334.0,74.0,3.0,4,AMC,237310.0,Y1LB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,KS
2013,69855.0,-1.065016963710543,0.0,144.0,3.0,4,AMC,237310.0,Y1LB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,KS
2013,250000.0,-0.43746384,0.0,155.0,3.0,4,AMC,237310.0,Y1LB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,KS
2013,185000.0,-1.0305890810810812,0.0,139.0,3.0,4,AMC,237310.0,Y1LB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,KS
2009,213131.39,-1.0068728965733296,1434.0,177.0,3.0,6,AMC,236220.0,Y199,FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2013,67000.0,-1.0039867164179104,0.0,10.0,3.0,8,AMC,237310.0,Y1LB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,KS
2012,150482.83,-1.0,1576.0,116.0,9.0,5,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2013,119111.16,-1.0039102129473008,-132.0,115.0,9.0,7,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2013,33123.55,-1.0,124.0,2.0,3.0,3,AMC,237310.0,Y1LB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,KS
2013,6500.0,-1.0,864.0,2.0,3.0,6,AMC,237310.0,Y1LB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,KS
2013,5000.0,-1.0,124.0,2.0,3.0,3,AMC,237310.0,Y1LB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,KS
2013,3250.0,26.11412923076923,95.0,2.0,3.0,2,AMC,237310.0,Y1LB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,KS
2013,39000.0,-1.0,124.0,2.0,3.0,4,AMC,237310.0,Y1LB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,KS
2013,7145.32,-1.0,72.0,24.0,9.0,4,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2009,35673.63,-1.7007890702460051,1470.0,76.0,3.0,5,AMC,236220.0,Y199,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2013,39097.22,-1.1018775759504127,-97.0,79.0,9.0,4,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2013,221594.66,-1.3704697577098655,606.0,106.0,9.0,9,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2012,17520.99,-0.9047102931969027,1234.0,61.0,9.0,6,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2013,51473.43,0.0,0.0,62.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2013,13831.72,0.0,0.0,29.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2013,98238.49,-0.9290522482582947,370.0,95.0,9.0,3,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2013,208562.38,-0.9709902620021885,0.0,195.0,9.0,2,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2013,945579.07,0.0,0.0,181.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2013,88644.66,0.0,0.0,45.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2013,82168.53,0.0,0.0,61.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2013,22801.7,0.0,0.0,32.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2013,978248.07,-1.0086272391010185,232.0,308.0,9.0,2,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2013,108859.63,-1.056452791544487,94.0,96.0,9.0,3,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2012,38599.87,-1.0,1623.0,69.0,9.0,8,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2013,53753.74,0.0,0.0,58.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,12110.85,0.0,0.0,59.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,10755.34,-0.9803604535049566,25.0,86.0,9.0,2,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,7923.23,-0.9803552339134419,4.0,62.0,9.0,2,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,69199.18,0.0,0.0,80.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,17036.33,0.0,0.0,53.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,27843.44,0.0,0.0,49.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,16842.41,-0.21972330563143874,22.0,47.0,9.0,2,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,431363.41,-0.8614048419173986,42.0,337.0,9.0,2,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,43985.61,0.0,0.0,101.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2012,9138.67,-1.0,922.0,29.0,9.0,5,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,18551.24,-0.5481337096603786,150.0,60.0,9.0,2,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2010,603733.03,-0.8368291362160523,1452.0,284.0,3.0,2,AMC,236220.0,Y199,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,19062.47,-1.2081739669623086,33.0,53.0,9.0,2,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,512770.61,-0.9466334273721343,57.0,217.0,9.0,3,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,15766.57,0.0,0.0,43.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,194474.51,-0.8373429504977286,52.0,127.0,9.0,3,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,70617.91,0.0,0.0,57.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,6096.28,0.0,0.0,35.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,27761.65,-0.9298694421981403,0.0,72.0,9.0,2,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,185682.97,0.0,0.0,100.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2012,43714.42,-1.0,1553.0,37.0,9.0,6,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2010,235114.25,-0.9929371358818107,1496.0,139.0,3.0,3,AMC,236220.0,Y199,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2010,337089.19,-0.8176732988678753,1441.0,157.0,3.0,4,AMC,236220.0,Y199,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,27010.34,0.0,0.0,53.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,215648.78,-0.9732995939044959,18.0,161.0,9.0,3,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2010,37940.91,-0.8174371674269278,1574.0,90.0,3.0,4,AMC,236220.0,Y199,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,65537.02,0.0,0.0,62.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,7330.89,-0.8706023415983598,76.0,59.0,9.0,3,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,79271.49,0.0,0.0,73.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,4954.76,0.0,0.0,39.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,17111.05,0.0,0.0,34.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2012,311871.65,-1.0153059760321272,818.0,122.0,9.0,4,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,105170.63,-0.942560009386651,40.0,110.0,9.0,2,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,28457.99,0.0,0.0,56.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2010,1691350.67,-0.9963931784767024,1162.0,435.0,3.0,2,AMC,236220.0,Y199,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,36486.51,-1.1554760923968885,188.0,88.0,9.0,2,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,87566.88,0.0,0.0,145.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,63860.12,0.0,0.0,97.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,194922.38,-0.7791730226154637,211.0,98.0,9.0,3,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,7140.88,0.0,0.0,38.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,59874.03,0.0,0.0,72.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2010,104981.9,-0.937618008437645,1449.0,120.0,3.0,2,AMC,236220.0,Y199,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2012,259709.78,-1.8974827979138866,1751.0,106.0,9.0,15,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2010,227518.89,-0.9196822294623537,1458.0,135.0,3.0,2,AMC,236220.0,Y199,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,31942.54,0.0,0.0,65.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,9425.78,0.0,0.0,57.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,8910.57,0.0,0.0,28.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,18728.03,0.0,0.0,28.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,22023.67,0.0,0.0,86.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,10136.98,0.0,0.0,30.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,66483.5,0.0,0.0,55.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,33283.79,0.0,0.0,70.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,174367.26,-0.9900501389997183,0.0,163.0,9.0,2,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2012,90528.3,-1.0,858.0,82.0,9.0,3,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,276980.68,0.0,0.0,156.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,83684.21,0.0,0.0,55.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,78578.81,-1.0381782315105053,0.0,54.0,9.0,2,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,21070.46,0.0,0.0,59.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,19987.09,0.0,0.0,28.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,14959.12,0.0,0.0,43.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,1057215.4,-1.0,183.0,396.0,9.0,5,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,10225.9,0.0,0.0,58.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,21563.5,-0.8636983792056021,2.0,27.0,9.0,2,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,80481.94,-0.7394745951700469,15.0,59.0,9.0,2,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2012,86269.69,-0.7976925615473986,1730.0,131.0,9.0,11,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2012,19931.69,-1.2171842929525796,860.0,85.0,9.0,4,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,45406.92,0.0,0.0,57.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,10627.35,0.0,0.0,72.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,9191.1,0.0,0.0,46.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,163144.05,0.0,0.0,62.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,136208.83,-0.9931516187313261,9.0,212.0,9.0,2,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,5990.28,-0.6307217692662113,84.0,55.0,9.0,2,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,143619.91,-1.0,652.0,92.0,9.0,2,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,33786.83,0.0,0.0,108.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,8988.7,0.0,0.0,46.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,39456.96,0.0,0.0,37.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2012,38828.35,-1.0429325479965026,973.0,43.0,9.0,3,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,17169.0,-1.0,492.0,125.0,9.0,3,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,120876.04,0.0,0.0,93.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,37630.92,0.0,0.0,91.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2014,40519.0,0.0,0.0,75.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2015,293511.4,0.0,0.0,122.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2015,1708.88,0.0,0.0,55.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2015,430699.21,0.0,0.0,163.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2015,37805.71,-0.890963825305754,14.0,460.0,9.0,3,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2015,5330.43,0.0,0.0,57.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2012,117326.86,-0.9960257182370686,1493.0,72.0,9.0,9,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2015,102224.48,0.0,0.0,49.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2015,12089.14,0.0,0.0,81.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2015,43814.66,-0.8771838010382826,45.0,60.0,9.0,2,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2015,92781.16,-1.0397688496242126,148.0,90.0,9.0,2,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2015,226776.37,-0.9807275775690386,185.0,94.0,9.0,3,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2015,4970.35,0.0,0.0,39.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2015,31692.18,0.0,0.0,104.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2015,252285.79,0.0,0.0,108.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2015,8399.27,0.0,0.0,40.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2015,25725.5,0.0,0.0,38.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2012,107247.05,-1.4839718202039123,1650.0,53.0,9.0,6,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2015,3590.48,0.0,0.0,27.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2015,154477.28,0.0,0.0,74.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2015,48927.69,0.0,0.0,67.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2015,26904.74,0.0,0.0,34.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2015,52003.03,0.0,0.0,41.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2015,17276.45,-0.7890081585047855,25.0,26.0,9.0,2,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2015,10888.23,0.0,0.0,51.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
2015,34419.54,0.0,0.0,55.0,9.0,1,AMC,236220.0,Y1EB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,KS
