fiscal_year,base_value,cost_growth_ratio,schedule_slip_days,planned_duration_days,number_of_offers,n_transactions,military_branch,naics_code,psc_code,contract_type,extent_competed,place_state
2012,18130.86,0.0,0.0,35.0,2.0,1,USMC,562991.0,Z1ND,FIRM FIXED PRICE,COMPETED UNDER SAP,HI
2012,21590.0,-1.0,213.0,43.0,3.0,2,USMC,238220.0,Z1FD,FIRM FIXED PRICE,COMPETED UNDER SAP,CA
2012,8235.82,0.0,0.0,33.0,3.0,1,USMC,811121.0,Z2PZ,FIRM FIXED PRICE,COMPETED UNDER SAP,CA
2015,11998.7,0.0,1096.0,17.0,1.0,1,USMC,337214.0,Z2FE,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,CA
2016,101299.5,0.0,0.0,38.0,1.0,1,USMC,561320.0,Z2AZ,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,CA
2019,11320.0,0.0,365.0,365.0,1.0,1,USMC,811490.0,Z1FB,FIRM FIXED PRICE,COMPETED UNDER SAP,VA
2013,17686.55,-1.0,90.0,9.0,2.0,2,USMC,237990.0,Z1PZ,FIRM FIXED PRICE,COMPETED UNDER SAP,
2016,17590.91,0.0,0.0,23.0,3.0,1,USMC,562991.0,Z1ND,FIRM FIXED PRICE,COMPETED UNDER SAP,
2016,7789.06,0.0,0.0,9.0,1.0,1,USMC,488119.0,Z1BD,FIRM FIXED PRICE,NOT COMPETED UNDER SAP,
2015,29958.0,0.0,0.0,1.0,2.0,1,USMC,238190.0,Z1EB,FIRM FIXED PRICE,COMPETED UNDER SAP,SC
2016,43878.36,-1.0,0.0,15.0,2.0,3,USMC,541330.0,Z1JB,FIRM FIXED PRICE,COMPETED UNDER SAP,
2017,32201.22,0.0,0.0,370.0,1.0,1,USMC,541380.0,Z1JZ,FIRM FIXED PRICE,COMPETED UNDER SAP,
2018,87419.67,0.0,0.0,366.0,1.0,1,USMC,811310.0,Z1JZ,FIRM FIXED PRICE,COMPETED UNDER SAP,
2013,4090.0,0.0,0.0,50.0,1.0,1,USMC,314999.0,Z2GD,FIRM FIXED PRICE,NOT COMPETED UNDER SAP,AZ
2011,17550.01,0.0,0.0,29.0,4.0,1,USMC,237990.0,Z299,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,NC
2013,14469.3,0.0,0.0,20.0,1.0,1,USMC,333319.0,Z1FD,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,NC
2014,3750.0,0.0,0.0,67.0,2.0,1,USMC,334416.0,Z1BG,FIRM FIXED PRICE,COMPETED UNDER SAP,CA
2018,10000.0,0.0,0.0,29.0,1.0,1,USMC,811310.0,Z2EB,FIRM FIXED PRICE,NOT COMPETED UNDER SAP,CA
2019,102147.3,0.0,0.0,90.0,1.0,1,USMC,532412.0,Z1LB,FIRM FIXED PRICE,NOT COMPETED UNDER SAP,CA
2011,17136.0,-2.2465610410831,341.0,378.0,2.0,5,USMC,811219.0,Z127,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,
2013,351063.61,-1.0156633437455964,0.0,364.0,1.0,3,USMC,811411.0,Z2NZ,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,
2014,323237.48,-1.0990904581981025,0.0,365.0,1.0,4,USMC,811411.0,Z2NZ,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,
2016,319816.0,-1.0623489756610052,120.0,197.0,1.0,7,USMC,811411.0,Z2NZ,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,
2010,19310.35,-1.0121458181752274,548.0,23.0,1.0,4,USMC,811213.0,Z127,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,
2011,361665.38,-1.0122206609877893,0.0,365.0,1.0,3,USMC,811412.0,Z299,FIRM FIXED PRICE,NOT COMPETED,
2012,4795.0,-1.01,0.0,56.0,1.0,2,USMC,541380.0,Z1QA,FIRM FIXED PRICE,COMPETED UNDER SAP,WI
